variable,description,type,length,decimal,page
CARATULA.sav,Características de la unidad agropecuaria al día de la entrevista,,,,2
CAP100A_01.sav,Características de la unidad agropecuaria al día de la entrevista,,,,2
CAP100A_03.sav,Características de la unidad agropecuaria al día de la entrevista,,,,2
CAP100A_04.sav,Características de la unidad agropecuaria al día de la entrevista,,,,2
USOSTIERRA.sav,Características de la unidad agropecuaria al día de la entrevista,,,,2
CAP100B_01.sav,Características de la unidad agropecuaria en los últimos 12 meses,,,,2
CAP100B_02.sav,Características de la unidad agropecuaria en los últimos 12 meses,,,,2
CAP200AB.sav,"Superficie cosechada y sembrada, producción y destino de los cultivos cosechados",,,,2
CAP200A.sav,"Superficie cosechada y sembrada, producción y destino de los cultivos cosechados",,,,2
CAP200B_1.sav,Pérdida total de producción o superficie sembrada,,,,2
CAP200C.sav,Derivados agrícolas de los cultivos cosechados,,,,2
CAP200D.sav,Subproductos agrícolas de los cultivos cosechados,,,,2
CAP200E.sav,Costos de producción de los cultivos cosechados,,,,2
CAP300AB.sav,Buenas prácticas agrícolas (para los cultivos cosechados y no cosechados),,,,2
CAP400A.sav,Producción pecuaria al día de la entrevista,,,,2
CAP400A_1.sav,Producción pecuaria en los últimos 12 meses,,,,2
CAP400A_2.sav,Producción pecuaria en los últimos 12 meses,,,,2
CAP400B.sav,Subproductos pecuarios,,,,2
CAP400C.sav,Derivados pecuarios,,,,2
CAP500AB.sav,Buenas prácticas pecuarias,,,,2
CAP600.sav,Inocuidad,,,,2
CAP700.sav,Servicios de extensión agraria,,,,2
CAP800.sav,Asociatividad,,,,2
CAP900.sav,Servicios financieros,,,,2
CAP1000.sav,Costos de producción de la actividad agropecuaria,,,,2
CAP1100.sav,Características del productor agropecuario y su familia,,,,2
CAP1200A_IS.sav,Intención de siembra,,,,2
CAP1200B_ME.sav,Maquinaria y/o equipo,,,,2
ANIO,AÑO,N,4,,3
CCDD,Código de Departamento,AN,2,,3
NOMBREDD,Nombre de Departamento,A,100,,3
CCPP,Código de Provincia,AN,2,,3
NOMBREPV,Nombre de la Provincia,A,100,,3
CCDI,Código del Distrito,AN,2,,3
NOMBREDI,Nombre del Distrito,A,100,,3
NSEGM,NÚMERO CORRELATIVO EN SECUENCIA SERPENTIN POR REGIÓN,AN,5,,3
ID_PROD,Identificador de la Unidad Agropecuaria,N,2,,3
UA,Unidad Agropecuaria N°,AN,2,,3
RESFIN,Resultado FINAL de la encuesta,N,1,,3
REGION,REGIÓN NATURAL,N,1,,3
ESTRATO,ESTRATO MUESTRAL,N,10,,3
FACTOR_PRODUCTOR,FACTOR DE EXPANSIÓN DE PRODUCTOR AGROPECUARIO,N,6,2,3
CODIGO,CÓDIGO DE IDENTIFICACIÓN,N,1,,3
LATITUD,Coordenada Y del segmento - Latitud,N,15,11,3
LONGITUD,Coordenada X del segmento - Longitud,N,15,11,3
P101A,SU CONDICIÓN JURÍDICA COMO PRODUCTOR ES ….,N,1,,4
P101,¿CUÁNTOS AÑOS SE DEDICA DE MANERA INDEPENDIENTE A LA ACTIVIDAD AGROPECUARIA?,N,2,,4
P102,"¿ACTUALMENTE CUÁNTAS PARCELAS O CHACRAS TRABAJA O CONDUCE EN ESTE DISTRITO (Incluya parcelas arrendadas, propias, invadidas, cedidas, etc.)?",N,3,,4
