anio,ccdd,ccpp,ccdi,psu,id_prod,ua,region_natural,estrato,weight,departamento,provincia,distrito,latitud,longitud,hhi_area,diversificacion_area,shannon_area,num_crops_area,area_total_ha,hhi_valor,diversificacion_valor,shannon_valor,num_crops_valor,valor_total,jornaleros_perm_h,jornaleros_perm_m,jornaleros_event_h,jornaleros_event_m,gasto_agricola_total,costo_total_agropecuario,gasto_abono,gasto_fertilizantes,gasto_plaguicidas,practice_any,num_practices,labor_total,input_costs,size_cat
2024,25.0,4.0,1.0,10001,1,1,3,250493005.0,21.21257,UCAYALI,PURUS,PURUS,-9.70365694437,-70.7051204138,0.6122618655200334,0.38773813447996663,0.5762542441550842,2.0,1.357,0.8579881656804735,0.14201183431952646,0.2711893730418441,2.0,5850.0,,,1.0,,250.0,750.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pequeno_<2ha
2024,25.0,4.0,1.0,10001,2,2,3,250493005.0,11.92999,UCAYALI,PURUS,PURUS,-9.70365694437,-70.7051204138,1.0,0.0,-0.0,1.0,0.552,1.0,0.0,-0.0,1.0,2950.0,,,1.0,,150.0,670.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,pequeno_<2ha
2024,25.0,3.0,5.0,10002,1,1,3,250391005.0,13.09255,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.89848200092,-75.127889833,0.5224977043158862,0.47750229568411384,0.6704776487973955,2.0,16.5,1.0,0.0,-0.0,1.0,36000.0,,,4.0,2.0,4900.0,9220.0,0.0,0.0,500.0,1.0,1.0,6.0,500.0,grande_>5ha
2024,25.0,3.0,5.0,10002,2,2,3,250391005.0,16.38856,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.89848200092,-75.127889833,1.0,0.0,-0.0,1.0,5.0,1.0,0.0,-0.0,1.0,48750.0,,,3.0,2.0,3840.0,3990.0,0.0,0.0,500.0,1.0,1.0,5.0,500.0,mediano_2_5ha
2024,25.0,3.0,5.0,10002,3,3,3,250391005.0,13.88565,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.89848200092,-75.127889833,1.0,0.0,-0.0,1.0,9.0,1.0,0.0,-0.0,1.0,43750.0,,,4.0,2.0,6800.0,7000.0,0.0,0.0,400.0,1.0,1.0,6.0,400.0,grande_>5ha
2024,25.0,3.0,5.0,10002,4,4,3,250391005.0,22.57496,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.89848200092,-75.127889833,0.5555555555555556,0.4444444444444444,0.6365141682948128,1.0,21.0,0.5555555555555556,0.4444444444444444,0.6365141682948128,1.0,97500.0,,,4.0,2.0,5900.0,6300.0,0.0,0.0,1000.0,1.0,1.0,6.0,1000.0,grande_>5ha
2024,25.0,3.0,5.0,10002,5,5,3,250391005.0,2.187476,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.89848200092,-75.127889833,0.6342056076265947,0.3657943923734053,0.5521815795537743,2.0,26.349,1.0,0.0,-0.0,1.0,31250.0,,,4.0,2.0,7700.0,17880.0,0.0,0.0,400.0,1.0,1.0,6.0,400.0,grande_>5ha
2024,25.0,3.0,5.0,10002,6,6,3,250391005.0,1.47013,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.89848200092,-75.127889833,1.0,0.0,-0.0,1.0,2.0,1.0,0.0,-0.0,1.0,7500.0,,,2.0,,1250.0,1700.0,0.0,0.0,200.0,1.0,1.0,2.0,200.0,pequeno_<2ha
2024,25.0,3.0,5.0,10002,7,7,3,250391005.0,5.121626,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.89848200092,-75.127889833,0.513888888888889,0.48611111111111105,0.6791932659915256,1.0,6.0,0.5017301038062284,0.4982698961937716,0.6914160776171183,1.0,21250.0,,,3.0,2.0,4450.0,4700.0,0.0,0.0,400.0,1.0,1.0,5.0,400.0,grande_>5ha
2024,25.0,3.0,5.0,10003,1,1,3,250391005.0,5.162738,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,-8.81167039897,-74.9969154356,1.0,0.0,-0.0,1.0,2.0,1.0,0.0,-0.0,1.0,17250.0,,,5.0,,4950.0,5250.0,0.0,0.0,200.0,1.0,1.0,5.0,200.0,pequeno_<2ha
