ANIO,NSEGM,ID_PROD,UA,RESFIN,REGION,FACTOR_PRODUCTOR,CODIGO,P101A,P102C_N,P102C_DEP_COD,P102C_DEP,P102C_CANT
2024,93028,1,01,1,1,1,2,2,1,20,PIURA,2
2024,93043,1,01,1,1,1,2,2,1,10,HUANUCO,1
2024,93043,1,01,1,1,1,2,2,2,14,LAMBAYEQUE,1
2024,95017,1,01,1,2,1,2,1,1,22,SAN MARTIN,1
2024,95040,1,01,2,1,1,2,7,1,13,LA LIBERTAD,19
2024,95040,1,01,2,1,1,2,7,3,14,LAMBAYEQUE,5
2024,95040,1,01,2,1,1,2,7,2,20,PIURA,11
2024,95041,1,01,1,1,1,2,2,1,14,LAMBAYEQUE,1
2024,95043,1,01,1,1,1,2,7,1,11,ICA,3
2024,95043,1,01,1,1,1,2,7,2,14,LAMBAYEQUE,1
2024,95044,1,01,1,1,1,2,2,1,20,PIURA,8
2024,95051,1,01,1,1,1,2,2,1,15,LIMA,1
2024,95058,1,01,1,1,1,2,2,2,11,ICA,1
2024,95058,1,01,1,1,1,2,2,1,06,CAJAMARCA,1
2024,95067,1,01,1,1,1,2,7,1,11,ICA,8
2024,95081,1,01,1,1,1,2,7,1,13,LA LIBERTAD,1
2024,95083,1,01,1,1,1,2,2,1,20,PIURA,7
2024,95086,1,01,1,1,1,2,2,2,04,AREQUIPA,1
2024,95086,1,01,1,1,1,2,2,1,01,AMAZONAS,1
2024,95086,1,01,1,1,1,2,2,5,14,LAMBAYEQUE,2
2024,95086,1,01,1,1,1,2,2,4,13,LA LIBERTAD,10
2024,95086,1,01,1,1,1,2,2,3,11,ICA,1
2024,95087,1,01,1,1,1,2,7,1,13,LA LIBERTAD,3
2024,95120,1,01,1,1,1,2,2,1,13,LA LIBERTAD,1
2024,95127,1,01,1,1,1,2,2,1,23,TACNA,1
2024,95154,1,01,1,2,1,2,8,11,24,TUMBES,1
2024,95154,1,01,1,2,1,2,8,3,01,AMAZONAS,1
2024,95154,1,01,1,2,1,2,8,4,08,CUSCO,2
2024,95154,1,01,1,2,1,2,8,7,03,APURIMAC,1
2024,95154,1,01,1,2,1,2,8,1,15,LIMA,2
2024,95154,1,01,1,2,1,2,8,2,23,TACNA,1
2024,95154,1,01,1,2,1,2,8,15,13,LA LIBERTAD,1
2024,95154,1,01,1,2,1,2,8,10,21,PUNO,1
2024,95154,1,01,1,2,1,2,8,13,25,UCAYALI,1
2024,95154,1,01,1,2,1,2,8,6,06,CAJAMARCA,1
2024,95154,1,01,1,2,1,2,8,9,22,SAN MARTIN,1
2024,95154,1,01,1,2,1,2,8,14,12,JUNIN,2
2024,95154,1,01,1,2,1,2,8,5,04,AREQUIPA,1
2024,95154,1,01,1,2,1,2,8,8,20,PIURA,1
2024,95154,1,01,1,2,1,2,8,16,16,LORETO,2
2024,95154,1,01,1,2,1,2,8,12,18,MOQUEGUA,1
2024,95161,1,01,1,2,1,2,2,1,11,ICA,5
2024,95161,1,01,1,2,1,2,2,2,15,LIMA,1
2024,95180,1,01,1,2,1,2,2,1,14,LAMBAYEQUE,2
2024,95210,1,01,1,2,1,2,2,1,11,ICA,1
2024,95211,1,01,1,2,1,2,2,1,15,LIMA,1
2024,95262,1,01,1,3,1,2,1,1,03,APURIMAC,1
2024,95324,1,01,1,2,1,2,5,1,11,ICA,1
2024,95360,1,01,1,1,1,2,7,1,20,PIURA,1
2024,95360,1,01,1,1,1,2,7,2,13,LA LIBERTAD,1
2024,95389,1,01,1,1,1,2,2,1,02,ANCASH,1
2024,95419,1,01,1,1,1,2,2,1,04,AREQUIPA,1
2024,95422,1,01,1,1,1,2,3,1,02,ANCASH,1
2024,95446,1,01,1,1,1,2,2,1,13,LA LIBERTAD,1
2024,95566,1,01,2,1,1,2,2,1,05,AYACUCHO,1
2024,95566,1,01,2,1,1,2,2,2,15,LIMA,1
2024,95574,1,01,1,1,1,2,2,1,02,ANCASH,1
2024,95576,1,01,1,1,1,2,7,1,15,LIMA,1
2024,95576,1,01,1,1,1,2,7,2,02,ANCASH,1
2024,95600,1,01,2,1,1,2,2,1,14,LAMBAYEQUE,8
2024,95640,1,01,1,1,1,2,7,1,02,ANCASH,1
2024,95704,1,01,1,1,1,2,7,1,11,ICA,16
2024,95704,1,01,1,1,1,2,7,2,20,PIURA,1
2024,95706,1,01,1,1,1,2,2,1,02,ANCASH,1
2024,95710,1,01,1,1,1,2,7,1,15,LIMA,1
