ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P105,P105_SUP_1,P105_SUP_2,P105_EQUIV_1,P105_EQUIV_2,P105_SUP_ha,P108,P109_MES,P109_ANIO,P111_1,P111_2,P111_3,P111_4,P111_5,P112,P113_SUP_1,P113_SUP_2,P114,P140,P141_1,P141_2,P141_3,P141_4,P141_5,P141_6,P141_7,P141_8,P1201,OMICAP100A_03
2024,25,UCAYALI,04,PURUS,01,PURUS,10001,01,01,1,3,250493005,21.21257,1,,1,16,800,16,8000,16.8,1,6,2003,0,0,0,1,0,,, ,1,3,,,,,,,,,1, 
2024,25,UCAYALI,04,PURUS,01,PURUS,10001,02,02,1,3,250493005,11.92999,1,,1,16,200,16,2000,16.2,1,5,2021,0,0,0,1,0,,, ,1,,,,,,,,,,1, 
2024,25,UCAYALI,04,PURUS,01,PURUS,10001,03,03,1,3,250493005,43.84864,1,,1,56,500,56,5000,56.5,1,8,1983,1,0,0,0,0,1,56,500,2,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,01,01,1,3,250391005,13.09255,1,,1,20,000,20,0000,20,1,4,2007,1,0,0,0,0,1,20,000,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,02,02,1,3,250391005,16.38856,1,,1,16,000,16,0000,16,1,4,1999,1,0,0,0,0,3,, ,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,03,03,1,3,250391005,13.88565,1,,1,9,000,9,0000,9,1,5,2019,1,0,0,0,0,2,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,04,04,1,3,250391005,22.57496,1,,1,33,000,33,0000,33,1,4,1999,1,0,0,0,0,2,, ,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,04,04,1,3,250391005,22.57496,1,,2,20,000,20,0000,20,2,2,2014,1,0,0,0,0,2,, ,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,05,05,1,3,250391005,2.187476,1,,2,20,000,20,0000,20,2,7,1994,1,0,0,0,0,2,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,05,05,1,3,250391005,2.187476,1,,1,6,500,6,5000,6.5,1,7,1994,1,0,0,0,0,2,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,06,06,1,3,250391005,1.47013,1,,1,8,000,8,0000,8,1,1,2004,1,0,0,0,0,2,, ,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,07,07,1,3,250391005,5.121626,1,,2,3,500,3,5000,3.5,2,2,2018,1,0,0,0,0,2,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,07,07,1,3,250391005,5.121626,1,,1,3,000,3,0000,3,1,7,2014,1,0,0,0,0,2,, ,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,01,01,1,3,250391005,5.162738,1,,1,8,000,8,0000,8,1,2,2009,1,0,0,0,0,2,, ,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,02,02,1,3,250391005,10.69118,1,,1,36,000,36,0000,36,1,1,2004,1,0,0,0,0,2,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,03,03,1,3,250391005,12.99202,1,,1,34,000,34,0000,34,1,3,2019,1,0,0,0,0,3,, ,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,04,04,1,3,250391005,21.59325,1,,1,54,000,54,0000,54,1,5,2014,1,0,0,0,0,3,, ,1,,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,01,01,1,3,250391005,28.86083,1,,3,30,000,30,0000,30,1,3,1990,1,0,0,0,0,1,30,000,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,01,01,1,3,250391005,28.86083,1,,2,12,000,12,0000,12,2,7,1986,1,0,0,1,0,1,11,000,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,01,01,1,3,250391005,28.86083,1,,1,13,200,13,2000,13.2,2,7,1986,1,0,0,0,0,1,13,200,1,,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,02,02,1,3,250391005,22.38966,1,,1,11,500,11,5000,11.5,1,9,1994,1,0,0,0,0,1,11,500,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,02,02,1,3,250391005,22.38966,1,,2,9,500,9,5000,9.5,2,9,1994,1,0,0,0,0,1,9,500,2,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,03,03,1,3,250391005,1.18991,1,,1,11,500,11,5000,11.5,1,6,2010,1,0,0,0,0,1,11,500,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,03,03,1,3,250391005,1.18991,1,,2,2,000,2,0000,2,2,5,2017,1,0,0,0,0,4,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,06,06,1,3,250391005,2.99838,1,,2,40,000,40,0000,40,2,8,2014,1,0,0,0,0,2,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,06,06,1,3,250391005,2.99838,1,,1,44,500,44,5000,44.5,1,8,2014,1,0,0,0,0,2,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,06,06,1,3,250391005,2.99838,1,,3,60,000,60,0000,60,2,4,2014,1,0,0,0,0,2,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,07,07,1,3,250391005,8.017953,1,,1,26,000,26,0000,26,1,3,2016,1,0,0,0,0,2,, ,1,,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,08,08,1,3,250391005,21.4156,1,,1,12,300,12,3000,12.3,1,9,2014,1,0,0,0,0,2,, ,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10005,01,01,1,3,250391003,.96399,1,,1,80,000,80,0000,80,1,2,2008,1,0,0,0,0,3,, ,1,,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10005,02,02,1,3,250391003,.1062822,1,,1,7,000,7,0000,7,1,2,2018,1,0,0,0,0,3,, ,1,1,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,01,01,1,3,250391005,29.66294,1,,1,18,000,18,0000,18,1,12,2022,1,0,0,0,0,3,, ,2,,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,02,02,1,3,250391005,18.783,1,,1,10,000,10,0000,10,1,1,2023,1,0,0,0,0,3,, ,2,,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,03,03,1,3,250391005,10.56679,1,,1,44,500,44,5000,44.5,1,5,2022,1,0,0,0,0,3,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,04,04,1,3,250391005,4.254574,1,,1,24,000,24,0000,24,1,1,2009,1,0,0,0,0,1,24,000,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,05,05,1,3,250391005,4.214172,1,,1,150,000,150,0000,150,1,2,2000,1,0,0,0,0,2,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,01,01,1,3,250391004,.094992,1,,2,12,000,12,0000,12,2,3,2017,1,0,0,0,0,1,12,000,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,01,01,1,3,250391004,.094992,1,,1,18,000,18,0000,18,1,2,2014,1,0,0,0,0,1,18,000,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,02,02,1,3,250391004,9.755317,1,,2,3,000,3,0000,3,2,4,2023,0,0,1,0,0,,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,02,02,1,3,250391004,9.755317,1,,1,7,500,7,5000,7.5,1,1,2022,0,0,1,0,0,,, ,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,03,03,1,3,250391004,5.964668,1,,2,4,000,4,0000,4,1,5,2017,1,0,0,0,0,1,4,000,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,03,03,1,3,250391004,5.964668,1,,1,3,000,3,0000,3,2,2,2023,1,0,0,0,0,1,3,000,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,1,13,000,13,0000,13,1,2,2017,1,0,0,0,0,1,13,000,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,4,24,000,24,0000,24,2,8,2015,1,0,0,0,0,1,24,000,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,2,2,000,2,0000,2,2,2,2017,1,0,0,0,0,1,2,000,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,04,04,1,3,250391004,2.877765,1,,3,9,000,9,0000,9,2,2,2017,1,0,0,0,0,1,9,000,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,05,05,1,3,250391004,.8111839,1,,2,15,000,15,0000,15,1,2,1999,1,0,0,0,0,1,15,000,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10007,05,05,1,3,250391004,.8111839,1,,1,10,000,10,0000,10,2,2,1999,1,0,0,0,0,1,10,000,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,01,01,1,3,250393005,112.0423,1,,1,50,000,50,0000,50,1,3,1990,1,0,0,0,0,1,50,000,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,01,01,1,3,250393005,112.0423,1,,2,21,500,21,5000,21.5,2,8,2000,1,0,0,0,0,2,, ,1,,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,02,02,1,3,250393005,55.80513,1,,1,21,500,21,5000,21.5,1,3,2015,1,0,0,0,0,2,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,02,02,1,3,250393005,55.80513,1,,2,42,500,42,5000,42.5,2,3,2015,1,0,0,0,0,3,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10008,05,05,1,3,250393005,21.36,1,,1,54,250,54,2500,54.25,1,1,2002,1,0,0,0,0,2,, ,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10009,01,01,1,3,250393003,8.829394,1,,1,12,000,12,0000,12,1,4,2004,1,0,0,0,0,4,, ,1,,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10009,02,02,1,3,250393003,.7341211,1,,1,3,500,3,5000,3.5,1,4,2009,1,0,0,0,0,4,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10010,01,01,1,3,250393002,1.305981,1,,1,8,500,8,5000,8.5,1,3,1990,0,0,0,1,0,,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,01,01,1,3,250391005,3.896025,1,,1,5,500,5,5000,5.5,1,1,2004,1,0,0,0,0,4,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,02,02,1,3,250391005,2.128094,1,,1,22,000,22,0000,22,1,2,2004,1,0,0,0,0,1,22,000,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,03,03,1,3,250391005,8.33548,1,,1,7,000,7,0000,7,1,2,2011,1,0,0,0,0,3,, ,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,03,03,1,3,250391005,8.33548,1,,2,70,000,70,0000,70,2,3,2021,1,0,0,0,0,1,70,000,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,04,04,1,3,250391005,21.88851,1,,1,14,000,14,0000,14,1,4,2020,1,0,0,0,0,1,14,000,1,3,,,,,,,,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,05,05,1,3,250391005,1.99235,1,,1,26,000,26,0000,26,1,3,2004,1,0,0,0,0,4,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,06,06,1,3,250391005,5.38409,1,,1,17,000,17,0000,17,1,2,2019,1,0,0,0,0,3,, ,1,3,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10012,01,01,1,3,250392005,56.02063,1,,2,13,500,13,5000,13.5,2,6,2014,1,0,0,0,0,4,, ,1,,,,,,,,,,2, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10012,01,01,1,3,250392005,56.02063,1,,3,12,000,12,0000,12,2,5,2015,1,0,0,0,0,3,, ,2,3,,,,,,,,,1, 
