ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P105,P147,P147_SUP_1,P147_SUP_2,P147_EQUIV_1,P147_EQUIV_2,P147_SUP_ha,P107,P148_DIA,P148_MES,P148_ANIO,P111_1,P111_2,P111_3,P111_4,P111_5,P112,P113_SUP_1,P113_SUP_2,P202,P224A,P224G_1,P224G_2,P224G_3,P224G_4,P224G_5,P224G_6,P224G_8,P224G_9,P224G_7,OMICAP100B_02
2024,25,UCAYALI,04,PURUS,01,PURUS,10001,01,01,1,3,250493005,21.21257,1,,1,1,0,1,1,16,800,16,8000,16.8,FUNDO JULIO,,,,0,0,0,1,0,,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,04,PURUS,01,PURUS,10001,02,02,1,3,250493005,11.92999,1,,1,1,0,1,1,16,200,16,2000,16.2,FUNDO JULIO,,,,0,0,0,1,0,,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,04,PURUS,01,PURUS,10001,03,03,1,3,250493005,43.84864,1,,0,0,1,1,1,56,500,56,5000,56.5,FUNDO YOLANDA,,,,1,0,0,0,0,1,56,500,2,2,0,0,0,0,0,0,0,0,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,01,01,1,3,250391005,13.09255,1,,1,1,0,1,1,20,000,20,0000,20,FUNDO MAIZ,,,,1,0,0,0,0,1,20,000,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,02,02,1,3,250391005,16.38856,1,,1,1,0,1,1,16,000,16,0000,16,FUNDO SAMUEL,,,,1,0,0,0,0,3,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,03,03,1,3,250391005,13.88565,1,,1,1,0,1,1,9,000,9,0000,9,FUNDO ROJAS,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,04,04,1,3,250391005,22.57496,1,,1,1,0,1,1,33,000,33,0000,33,FUNDO VILLAR,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,04,04,1,3,250391005,22.57496,1,,1,1,0,2,2,20,000,20,0000,20,FUNDO VILLAR 2,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,05,05,1,3,250391005,2.187476,1,,1,1,0,1,1,6,500,6,5000,6.5,FUNDO ORLANDO,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,05,05,1,3,250391005,2.187476,1,,1,1,0,2,2,20,000,20,0000,20,FUNDO ORLANDO 2,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,06,06,1,3,250391005,1.47013,1,,1,1,0,1,1,8,000,8,0000,8,FUNDO HONORATO,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,07,07,1,3,250391005,5.121626,1,,1,1,0,1,1,3,000,3,0000,3,FUNDO ANANIAS,,,,1,0,0,0,0,2,, ,1,2,,,,,,,,,,
