ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P147,P203,P204_NOM,P204_COD,P204_TIPO,P218A,P218B,P218C_NRO,P218C_PROD_CORTE_ENT,P218C_PROD_CORTE_DEC,OMICAP200_05
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,01,01,1,3,250391005,13.09255,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,2,40,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,01,01,1,3,250391005,13.09255,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,1,55,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,01,01,1,3,250391005,13.09255,1,,1,1,1,2,PASTO BRAQUIARIA,1407,3,2,3,3,35,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,05,05,1,3,250391005,2.187476,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,3,120,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,05,05,1,3,250391005,2.187476,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,1,150,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,05,05,1,3,250391005,2.187476,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,2,130,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,02,02,1,3,250391005,10.69118,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,1,260,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,02,02,1,3,250391005,10.69118,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,2,240,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,02,02,1,3,250391005,10.69118,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,3,220,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,04,04,1,3,250391005,21.59325,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,2,350,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,04,04,1,3,250391005,21.59325,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,3,340,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,04,04,1,3,250391005,21.59325,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,1,360,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,01,01,1,3,250391005,28.86083,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,3,80,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,01,01,1,3,250391005,28.86083,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,1,90,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,01,01,1,3,250391005,28.86083,1,,1,1,1,1,PASTO BRAQUIARIA,1407,3,2,3,2,85,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,01,01,1,3,250391005,28.86083,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,2,80,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,01,01,1,3,250391005,28.86083,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,3,65,000, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,01,01,1,3,250391005,28.86083,1,,1,1,2,1,PASTO BRAQUIARIA,1407,3,2,3,1,95,000, 
