ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P147,P224B,P224B_NOM,P224B_COD,P224B_TIPO,P224D_SUP_1,P224D_SUP_2,P224E_1,P224E_2,P224E_3,P224E_4,P224E_5,P224E_6,P224E_7,OMICAP200_00
2024,25,UCAYALI,03,PADRE ABAD,02,IRAZOLA,10052,05,05,1,3,250392005,4.409521,1,,1,0,1,1,PLATANO,1171,3,0,500,1,0,0,0,0,0,0, 
2024,25,UCAYALI,03,PADRE ABAD,01,PADRE ABAD,10073,05,05,1,3,250392005,9.579173,1,,1,0,1,1,PLATANO,1171,3,0,350,0,1,1,0,0,0,0, 
2024,25,UCAYALI,03,PADRE ABAD,01,PADRE ABAD,10080,02,02,1,3,250393005,1.055585,1,,1,0,4,1,GUANABANO,1133,2,5,000,0,0,1,0,0,0,0, 
2024,25,UCAYALI,03,PADRE ABAD,01,PADRE ABAD,10080,24,24,1,3,250393005,1.854329,1,,1,0,1,1,NARANJO,1156,2,0,100,0,0,1,0,0,0,0, 
2024,25,UCAYALI,03,PADRE ABAD,01,PADRE ABAD,10080,24,24,1,3,250393005,1.854329,1,,1,0,1,2,CACAO,1202,3,0,150,0,0,1,0,0,0,0, 
2024,25,UCAYALI,01,CORONEL PORTILLO,05,YARINACOCHA,10140,06,06,1,3,250192006,49.52428,1,,1,0,2,1,PASTO BRIZANTHA,1408,3,32,452,0,1,0,0,0,0,0, 
2024,25,UCAYALI,01,CORONEL PORTILLO,01,CALLERIA,10182,02,02,1,3,250192005,11.35157,1,,1,1,1,1,YUCA,2620,1,0,250,0,1,0,0,0,0,0, 
2024,25,UCAYALI,01,CORONEL PORTILLO,01,CALLERIA,10185,01,01,1,3,250193006,11.09015,1,,1,1,1,1,MAIZ AMARILLO DURO,2107,1,3,900,0,0,1,0,0,1,0, 
2024,25,UCAYALI,01,CORONEL PORTILLO,01,CALLERIA,10185,02,02,1,3,250193006,39.35556,1,,1,0,1,1,MAIZ AMARILLO DURO,2107,1,3,000,0,0,1,0,0,1,0, 
2024,25,UCAYALI,01,CORONEL PORTILLO,01,CALLERIA,10185,06,06,1,3,250193006,12.92826,1,,1,0,1,1,MAIZ AMARILLO DURO,2107,1,1,000,0,1,0,0,0,0,0, 
2024,25,UCAYALI,01,CORONEL PORTILLO,01,CALLERIA,10185,07,07,1,3,250193006,14.40964,1,,1,0,1,1,MAIZ AMARILLO DURO,2107,1,2,500,0,1,0,0,0,0,0, 
2024,24,TUMBES,03,ZARUMILLA,04,PAPAYAL,10188,02,02,1,1,240313003,.7919365,1,,1,0,1,1,PLATANO,1171,3,3,000,0,0,1,0,0,0,0, 
2024,24,TUMBES,03,ZARUMILLA,04,PAPAYAL,10192,06,06,1,1,240313004,5.232837,1,,1,0,1,1,MAIZ CHOCLO,2109,1,1,500,0,0,1,0,0,1,0, 
2024,24,TUMBES,03,ZARUMILLA,03,MATAPALO,10208,01,01,1,1,240311003,3.949342,1,,1,1,3,1,LIMON ACIDO,1140,3,3,000,0,0,0,0,0,1,0, 
2024,24,TUMBES,01,TUMBES,02,CORRALES,10297,04,04,1,1,240111003,6.352034,1,,1,1,1,1,ARROZ CASCARA,2101,1,5,000,0,1,0,0,0,0,0, 
2024,24,TUMBES,01,TUMBES,02,CORRALES,10300,09,09,1,1,240111004,.0310821,1,,1,0,1,1,ARROZ CASCARA,2101,1,3,500,0,0,0,0,0,1,0, 
2024,24,TUMBES,01,TUMBES,02,CORRALES,10308,01,01,1,1,240111003,10.36888,1,,1,0,1,1,CEBOLLA CHINA,2316,1,0,500,0,0,0,0,0,1,0, 
2024,23,TACNA,04,TARATA,08,TICACO,10339,02,02,1,2,230431003,36.88205,1,,1,0,1,1,TUNA FRUTA,1186,2,0,990,0,0,1,0,0,1,0, 
2024,23,TACNA,04,TARATA,08,TICACO,10339,03,03,1,2,230431003,25.55614,1,,1,1,7,1,MAIZ AMILACEO,2108,1,1,000,0,0,1,0,0,0,1, 
2024,23,TACNA,04,TARATA,08,TICACO,10339,03,03,1,2,230431003,25.55614,1,,1,1,9,1,MAIZ AMILACEO,2108,1,0,250,0,0,0,0,0,0,1, 
2024,23,TACNA,04,TARATA,08,TICACO,10339,03,03,1,2,230431003,25.55614,1,,1,1,8,1,HABA,2942,1,1,000,0,0,0,0,0,0,1, 
2024,23,TACNA,04,TARATA,08,TICACO,10339,05,05,1,2,230431003,18.11257,1,,1,0,1,1,MAIZ AMILACEO,2108,1,0,500,0,0,1,0,0,0,0, 
2024,23,TACNA,04,TARATA,08,TICACO,10339,09,09,1,2,230431003,1.695291,1,,1,0,1,1,TUNA FRUTA,1186,2,0,170,0,0,1,0,0,1,0, 
2024,23,TACNA,04,TARATA,07,TARUCACHI,10343,10,10,1,2,230431004,1.118531,1,,1,1,3,1,MAIZ AMILACEO,2108,1,0,400,0,0,1,1,0,0,1, 
2024,23,TACNA,04,TARATA,06,SUSAPAYA,10346,01,01,1,2,230442002,1.076433,1,,1,1,1,1,ALFALFA,1401,3,0,057,0,0,0,0,0,0,1, 
2024,23,TACNA,04,TARATA,04,ESTIQUE-PAMPA,10350,04,04,1,2,230431003,9.232579,1,,1,1,1,1,OREGANO,1219,3,0,270,0,0,0,0,0,0,1, 
2024,23,TACNA,04,TARATA,02,HEROES ALBARRACIN,10356,11,11,1,2,230432003,3.861624,1,,1,1,1,1,TUNA FRUTA,1186,2,0,018,0,0,1,0,0,0,0, 
2024,23,TACNA,04,TARATA,02,HEROES ALBARRACIN,10356,19,19,1,2,230432003,6.344585,1,,1,0,2,1,TUNA FRUTA,1186,2,0,112,0,0,1,0,0,0,0, 
2024,23,TACNA,04,TARATA,02,HEROES ALBARRACIN,10356,31,31,1,2,230432003,142.9513,1,,1,0,1,1,TUNA FRUTA,1186,2,0,012,0,0,1,0,0,0,0, 
