ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P229C,P204_NOM_200C,P204_COD_200C,P229C_NOM,P229C_COD,P229D_CANT_ENT,P229D_CANT_DEC,P229D_UM,P229D_UM_COD,P229D_EQUIV,P229E_1_CANT_ENT,P229E_1_CANT_DEC,P229E_PREC_ENT,P229E_PREC_DEC,P229E_VAL,P229E_1_PRE_KG,P229E_2_ENT,P229E_2_DEC,P229E_3_ENT,P229E_3_DEC,OMICAP200_02
2024,25,UCAYALI,01,CORONEL PORTILLO,07,MANANTAY,10131,04,04,1,3,250192006,9.635405,1,,1,1,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,8246,000,KILOGRAMO,12,1,8046,000,5,00,40230,5,200,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,07,MANANTAY,10131,07,07,1,3,250192006,4.997955,1,,1,0,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,4965,000,KILOGRAMO,12,1,4965,000,3,00,14895,3,0,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,07,MANANTAY,10131,09,09,1,3,250192006,5.56352,1,,1,1,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,1000,000,KILOGRAMO,12,1,1000,000,5,00,5000,5,0,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,07,MANANTAY,10131,15,15,1,3,250192006,.2478624,1,,1,1,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,1500,000,KILOGRAMO,12,1,1470,000,4,00,5880,4,30,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,07,MANANTAY,10131,16,16,1,3,250192006,17.79964,1,,1,0,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,1500,000,KILOGRAMO,12,1,1350,000,4,00,5400,4,150,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,07,MANANTAY,10131,17,17,1,3,250192006,2.594902,1,,1,1,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,800,000,KILOGRAMO,12,1,760,000,5,00,3800,5,40,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,05,YARINACOCHA,10140,02,02,1,3,250192006,12.31437,1,,1,1,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,176000,000,KILOGRAMO,12,1,176000,000,4,00,704000,4,0,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,05,YARINACOCHA,10140,03,03,1,3,250192006,24.43939,1,,1,1,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,53667,000,KILOGRAMO,12,1,51613,000,4,00,206452,4,2054,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,05,YARINACOCHA,10140,04,04,1,3,250192006,1.055908,1,,1,1,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,37333,000,KILOGRAMO,12,1,37333,000,4,00,149332,4,0,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,05,YARINACOCHA,10140,05,05,1,3,250192006,10.2614,1,,1,1,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,71730,000,KILOGRAMO,12,1,71630,000,4,00,286520,4,100,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,05,YARINACOCHA,10140,06,06,1,3,250192006,49.52428,1,,1,0,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,21000,000,KILOGRAMO,12,1,20933,000,4,00,83732,4,67,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,02,CAMPOVERDE,10151,02,02,1,3,250191006,6.066831,1,,1,1,1,CAÑA DE AZUCAR PARA ALCOHOL,2807,AGUARDIENTE (CAÑAZO),4103,9000,000,LITRO,14,1,9000,000,10,00,90000,10,0,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,02,CAMPOVERDE,10155,02,02,1,3,250191005,13.2996,1,,1,0,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,1800,000,KILOGRAMO,12,1,1800,000,4,60,8280,4.6,0,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,02,CAMPOVERDE,10155,04,04,1,3,250191005,5.449416,1,,1,0,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,10600,000,KILOGRAMO,12,1,10600,000,5,00,53000,5,0,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,02,CAMPOVERDE,10155,07,07,1,3,250191005,5.491365,1,,1,1,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,4000,000,KILOGRAMO,12,1,4000,000,4,00,16000,4,0,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,02,CAMPOVERDE,10155,14,14,1,3,250191005,12.39325,1,,1,0,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,1920,000,KILOGRAMO,12,1,1920,000,5,60,10752,5.6,0,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,02,CAMPOVERDE,10159,01,01,1,3,250191005,90.7209,1,,1,1,1,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106,15000,000,KILOGRAMO,12,1,14800,000,10,00,148000,10,200,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,02,CAMPOVERDE,10164,04,04,1,3,250191005,5.123854,1,,1,1,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,3375,000,KILOGRAMO,12,1,3375,000,5,00,16875,5,0,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,02,CAMPOVERDE,10170,05,05,1,3,250191006,6.175428,1,,1,1,1,CAÑA DE AZUCAR PARA CHANCACA,2809,CHANCACA,4106,22500,000,KILOGRAMO,12,1,21700,000,10,00,217000,10,800,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,02,CAMPOVERDE,10174,09,09,1,3,250192006,.685622,1,,1,1,1,YUCA,2620,HARINA DE YUCA (FARIÑA),4119,4500,000,KILOGRAMO,12,1,4400,000,3,00,13200,3,100,000,0,000, 
2024,25,UCAYALI,01,CORONEL PORTILLO,02,CAMPOVERDE,10177,09,09,1,3,250192006,1.302139,1,,1,1,1,AGUAJE,1102,AGUAJINA,4102,1200,000,LITRO,14,1,0,000,, ,,,900,000,300,000, 
2024,23,TACNA,04,TARATA,08,TICACO,10339,09,09,1,2,230431003,1.695291,1,,1,0,1,MAIZ AMILACEO,2108,CHICHA,4107,800,000,LITRO,14,1,0,000,, ,,,800,000,0,000, 
2024,23,TACNA,04,TARATA,07,TARUCACHI,10341,02,02,1,2,230431003,38.76231,1,,1,1,1,PAPA NATIVA,2615,CHUÑO,4109,40,000,KILOGRAMO,12,1,0,000,, ,,,40,000,0,000, 
2024,23,TACNA,04,TARATA,07,TARUCACHI,10341,03,03,1,2,230431003,25.72741,1,,1,1,1,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115,48,000,KILOGRAMO,12,1,0,000,, ,,,48,000,0,000, 
2024,23,TACNA,04,TARATA,07,TARUCACHI,10341,03,03,1,2,230431003,25.72741,1,,1,1,2,MAIZ AMILACEO,2108,CHICHA,4107,500,000,LITRO,14,1,0,000,, ,,,500,000,0,000, 
2024,23,TACNA,04,TARATA,07,TARUCACHI,10341,04,04,1,2,230431003,28.88619,1,,1,1,1,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115,300,000,KILOGRAMO,12,1,0,000,, ,,,180,000,120,000, 
2024,23,TACNA,04,TARATA,07,TARUCACHI,10341,05,05,1,2,230431003,32.34127,1,,1,1,1,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115,300,000,KILOGRAMO,12,1,0,000,, ,,,300,000,0,000, 
2024,23,TACNA,04,TARATA,07,TARUCACHI,10341,06,06,1,2,230431003,6.393905,1,,1,1,1,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115,198,000,KILOGRAMO,12,1,0,000,, ,,,198,000,0,000, 
2024,23,TACNA,04,TARATA,01,TARATA,10359,05,05,1,2,230431003,67.49685,1,,1,1,1,PAPA BLANCA,2612,CHUÑO,4109,1,000,SACO,19,30,0,000,, ,,,1,000,0,000, 
2024,23,TACNA,04,TARATA,01,TARATA,10360,01,01,1,2,230431003,2.738852,1,,1,1,1,MAIZ AMILACEO,2108,HARINA DE MAIZ,4115,15,000,KILOGRAMO,12,1,0,000,, ,,,15,000,0,000, 
2024,23,TACNA,04,TARATA,01,TARATA,10360,01,01,1,2,230431003,2.738852,1,,1,1,2,MAIZ AMILACEO,2108,JORA,4121,10,000,LITRO,14,1,0,000,, ,,,10,000,0,000, 
2024,23,TACNA,04,TARATA,01,TARATA,10361,01,01,1,2,230441002,.1269478,1,,1,1,1,PAPA BLANCA,2612,CHUÑO,4109,1,000,SACO,19,50,0,000,, ,,,1,000,0,000, 
2024,23,TACNA,03,JORGE BASADRE,01,LOCUMBA,10382,02,02,1,1,230321004,6.97344,1,,1,1,1,HIGUERA,1136,FRUTAS SECAS,4110,15,000,KILOGRAMO,12,1,15,000,5,00,75,5,0,000,0,000, 
2024,23,TACNA,03,JORGE BASADRE,01,LOCUMBA,10382,04,04,1,1,230321004,1.011481,1,,1,1,1,HIGUERA,1136,FRUTAS SECAS,4110,25,000,KILOGRAMO,12,1,25,000,5,00,125,5,0,000,0,000, 
2024,23,TACNA,02,CANDARAVE,03,CAMILACA,10410,02,02,1,2,230231003,3.336419,1,,1,1,1,PAPA COLOR,2613,CHUÑO,4109,20,000,KILOGRAMO,12,1,0,000,, ,,,10,000,10,000, 
2024,23,TACNA,02,CANDARAVE,03,CAMILACA,10410,06,06,1,2,230231003,13.34216,1,,1,0,1,PAPA COLOR,2613,CHUÑO,4109,14,000,SACO,19,40,0,000,, ,,,14,000,0,000, 
2024,23,TACNA,02,CANDARAVE,02,CAIRANI,10412,01,01,1,2,230241002,10.92014,1,,1,1,1,PAPA COLOR,2613,CHUÑO,4109,40,000,KILOGRAMO,12,1,0,000,, ,,,40,000,0,000, 
2024,23,TACNA,02,CANDARAVE,02,CAIRANI,10415,01,01,1,2,230241004,.0752629,1,,1,1,1,PAPA COLOR,2613,CHUÑO,4109,39,000,KILOGRAMO,12,1,0,000,, ,,,39,000,0,000, 
2024,23,TACNA,02,CANDARAVE,02,CAIRANI,10415,05,05,1,2,230241004,7.776322,1,,1,1,1,PAPA COLOR,2613,CHUÑO,4109,0,250,SACO,19,80,0,000,, ,,,0,250,0,000, 
