ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_1_PRE_KG,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2024,25,UCAYALI,03,PADRE ABAD,01,PADRE ABAD,10080,01,01,1,3,250393005,.217326,1,,1,0,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,100,000,MONTON,42,10,100,000,1,00,100,.1,0,000,0,000, 
2024,24,TUMBES,01,TUMBES,05,SAN JACINTO,10264,03,03,1,1,240111003,6.514215,1,,1,0,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1,000,LOTE,37,300,1,000,100,00,100,.3333,0,000,0,000, 
2024,24,TUMBES,01,TUMBES,05,SAN JACINTO,10264,04,04,1,1,240111003,1.903495,1,,1,0,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,2,000,LOTE,37,40,2,000,50,00,100,1.25,0,000,0,000, 
2024,24,TUMBES,01,TUMBES,05,SAN JACINTO,10264,08,08,1,1,240111003,1.133515,1,,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1,000,LOTE,37,1000,0,000,, ,,,1,000,0,000, 
2024,24,TUMBES,01,TUMBES,05,SAN JACINTO,10265,04,04,1,1,240111003,1.954476,1,,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1,000,TONELADA,22,1000,0,000,, ,,,1,000,0,000, 
2024,24,TUMBES,01,TUMBES,05,SAN JACINTO,10265,07,07,1,1,240111003,3.181666,1,,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,2000,000,KILOGRAMO,12,1,0,000,, ,,,2000,000,0,000, 
2024,23,TACNA,04,TARATA,08,TICACO,10339,02,02,1,2,230431003,36.88205,1,,1,0,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,10,000,CARGA,09,30,0,000,, ,,,0,000,10,000, 
2024,23,TACNA,04,TARATA,08,TICACO,10339,09,09,1,2,230431003,1.695291,1,,1,0,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,60,000,MONTON,42,15,0,000,, ,,,60,000,0,000, 
2024,23,TACNA,04,TARATA,08,TICACO,10339,10,10,1,2,230431003,4.277026,1,,1,0,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,1000,000,0,10,100,.1,0,000,0,000, 
2024,23,TACNA,04,TARATA,08,TICACO,10339,16,16,1,2,230431003,31.16883,1,,1,0,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,500,000,KILOGRAMO,12,1,500,000,0,20,100,.2,0,000,0,000, 
2024,23,TACNA,04,TARATA,08,TICACO,10339,21,21,1,2,230431003,.974389,1,,1,0,1,MAIZ AMILACEO,2108,CHALA DE MAIZ,4105,500,000,KILOGRAMO,12,1,500,000,0,20,100,.2,0,000,0,000, 
