ANIO,NSEGM,ID_PROD,UA,RESFIN,REGION,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P404AA_1,P404AA_2,P404AA_3,P404AA_4,P404AA_5,P404AA_6,P410AA,P410AB1,P410AB2,P410AC_CANT_1,P410AC_CANT_2,P410AD,P410AD1,P410AD2,P410AD3,P410AE,OMICAP400_02
2024,93030,01,01,1,1,1,2,7,0,1,0,0,0,0,1,0,5,103,0,25,000,17303800,1,1,2,3, 
2024,93031,01,01,1,1,1,2,7,0,1,0,0,0,0,1,0,5,112,4,358,400,3500000,1,1,2,3, 
2024,93033,01,01,1,1,1,2,7,1,1,0,0,1,0,0,0,3,48,6,1,500,98075,1,1,1,4, 
2024,93035,01,01,1,1,1,2,2,0,1,0,0,0,0,1,0,5,32,0,110,000,1100000,1,1,2,3, 
2024,93036,01,01,1,1,1,2,5,0,1,0,0,0,0,1,0,5,22,0,72,000,720000,2,1,2,3, 
2024,93037,01,01,2,1,1,2,2,0,1,0,0,0,0,1,0,7,17,36,70,000,250000,2,1,1,3, 
2024,93038,01,01,1,1,1,2,4,1,1,0,0,1,0,0,0,3,12,9,2,000,3320,2,1,1,2, 
2024,93039,01,01,1,1,1,2,2,0,1,0,0,0,0,1,0,5,70,0,27,400,2000000,2,2,,3, 
2024,93042,01,01,1,1,1,2,7,0,1,0,0,0,0,1,0,5,66,24,99,000,2150000,1,1,2,3, 
2024,93047,01,01,1,1,1,2,2,0,1,0,0,0,0,1,0,5,28,0,62,000,840051,1,1,2,3, 
2024,93050,01,01,1,2,1,2,2,1,1,1,0,0,0,0,0,1,1,0,0,200,150,2,1,1,4, 
2024,93056,01,01,1,2,1,2,4,1,1,1,0,0,0,0,0,1,8,0,0,192,80,2,1,1,2, 
2024,93080,01,01,1,1,1,2,2,0,1,1,0,0,0,0,0,1,31,10,30,000,2658,2,1,2,1, 
2024,93081,01,01,1,1,1,2,2,0,1,0,0,0,0,1,0,6,75,1,9,168,1308072,2,1,2,2, 
2024,93082,01,01,1,1,1,2,2,0,1,0,0,0,0,1,0,6,10,0,4,000,49914,2,1,1,3, 
2024,95013,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,014,500,2,1,1,4, 
2024,95015,01,01,1,3,1,2,2,0,1,0,0,1,0,0,0,3,35,3,24,000,40000,2,1,2,4, 
2024,95019,01,01,1,3,1,2,1,1,1,0,0,0,1,0,0,4,1,1,0,048,3000,2,2,,1, 
2024,95022,01,01,1,2,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,002,200,2,2,,1, 
2024,95025,01,01,1,3,1,2,1,1,1,0,0,0,1,0,0,3,2,0,0,016,150,2,1,1,5, 
2024,95025,01,01,1,3,1,2,1,1,1,0,0,1,0,0,0,4,3,0,0,046,4600,2,1,1,5, 
2024,95027,01,01,1,3,1,2,1,1,1,0,0,1,0,0,0,3,0,5,0,075,750,2,1,1,5, 
2024,95027,01,01,1,3,1,2,1,1,1,0,0,0,1,0,0,4,1,0,0,015,900,2,1,1,1, 
2024,95040,01,01,2,1,1,2,7,0,1,0,0,0,0,1,0,5,39,0,90,600,1368300,1,1,2,3, 
2024,95080,01,01,1,1,1,2,2,1,1,0,0,0,0,1,0,5,3,0,0,480,30000,2,1,2,2, 
2024,95089,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,12,0,0,400,250,1,1,2,4, 
2024,95090,01,01,1,2,1,2,1,1,1,1,0,0,0,0,0,1,8,0,0,080,250,1,1,2,4, 
2024,95091,01,01,1,2,1,2,5,0,1,0,0,1,0,0,0,3,14,0,0,080,800,2,1,1,1, 
2024,95092,01,01,1,1,1,2,1,1,1,1,0,0,0,0,0,1,12,0,2,000,300,2,1,2,4, 
2024,95092,01,01,1,1,1,2,1,1,1,0,0,0,1,0,0,4,2,0,0,200,400,2,1,2,4, 
2024,95094,01,01,1,1,1,2,1,1,1,1,0,0,0,0,0,1,11,0,0,800,300,2,1,2,4, 
2024,95095,01,01,1,1,1,2,5,1,1,1,0,0,0,0,0,1,20,0,4,000,1200,2,1,2,4, 
2024,95096,01,01,2,1,1,2,7,0,1,0,0,0,0,1,0,5,113,25,30,972,45761000,1,1,2,4, 
2024,95097,01,01,1,1,1,2,1,1,1,1,0,0,0,0,0,1,11,0,0,800,400,1,1,2,2, 
2024,95098,01,01,1,1,1,2,5,1,1,1,0,0,0,0,0,1,3,0,0,200,50,2,1,1,4, 
2024,95099,01,01,1,1,1,2,2,0,1,0,0,1,0,0,0,3,17,0,0,415,6000,2,1,2,4, 
