ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10011,03,03,1,3,250391005,8.33548,1,,1,1,1,QUESO DE VACA,4216,20,00,KILOGRAMO,12,1,0,00,, ,,,20,00,0,00, 
2024,25,UCAYALI,03,PADRE ABAD,04,NESHUYA,10013,05,05,1,3,250391005,9.21442,1,,1,1,1,QUESO DE VACA,4216,50,00,KILOGRAMO,12,1,0,00,, ,,,30,00,20,00, 
2024,23,TACNA,04,TARATA,07,TARUCACHI,10341,03,03,1,2,230431003,25.72741,1,,1,1,1,QUESO DE VACA,4216,44,00,KILOGRAMO,12,1,40,00,12,00,480,12,4,00,0,00, 
2024,23,TACNA,04,TARATA,07,TARUCACHI,10341,04,04,1,2,230431003,28.88619,1,,1,1,1,QUESO DE VACA,4216,62,50,KILOGRAMO,12,1,50,00,12,00,600,12,12,50,0,00, 
2024,23,TACNA,04,TARATA,06,SUSAPAYA,10344,04,04,1,2,230431002,2.209086,1,,1,1,1,QUESO DE VACA,4216,180,00,KILOGRAMO,12,1,100,00,13,00,1300,13,60,00,20,00, 
2024,23,TACNA,04,TARATA,06,SUSAPAYA,10345,01,01,1,2,230444002,22.98191,1,,1,1,1,CHARQUI,4211,10,00,KILOGRAMO,12,1,0,00,, ,,,10,00,0,00, 
2024,23,TACNA,04,TARATA,06,SUSAPAYA,10346,01,01,1,2,230442002,1.076433,1,,1,1,1,QUESO DE VACA,4216,180,00,KILOGRAMO,12,1,100,00,13,00,1300,13,60,00,20,00, 
2024,23,TACNA,04,TARATA,04,ESTIQUE-PAMPA,10349,09,09,1,2,230431003,22.19328,1,,1,1,1,QUESO DE VACA,4216,298,00,KILOGRAMO,12,1,280,00,12,00,3360,12,18,00,0,00, 
2024,23,TACNA,04,TARATA,03,ESTIQUE,10351,04,04,1,2,230443002,1.207158,1,,1,1,1,QUESO DE VACA,4216,250,00,KILOGRAMO,12,1,230,00,12,00,2760,12,15,00,5,00, 
2024,23,TACNA,04,TARATA,03,ESTIQUE,10352,02,02,1,2,230442003,.0150335,1,,1,1,1,QUESO DE OVEJA,4217,120,00,MOLDE,41,.5,120,00,12,00,1440,24,0,00,0,00, 
2024,23,TACNA,04,TARATA,03,ESTIQUE,10352,03,03,1,2,230442003,1.765885,1,,1,1,1,QUESO DE VACA,4216,105,00,KILOGRAMO,12,1,100,00,12,00,1200,12,5,00,0,00, 
