ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1C,P1002B_1D,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_9C,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,P1109A,P1109B,P1110,P1110A,P1206,OMICAP1000
2024,25,UCAYALI,04,PURUS,01,PURUS,10001,01,01,1,3,250493005,21.21257,1,,1,1,0,0,0,0,250,0,,,1,,0,0,0,0,0,0,0,0,250,500,0,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,500,750,2,,1,,2, 
2024,25,UCAYALI,04,PURUS,01,PURUS,10001,02,02,1,3,250493005,11.92999,1,,1,1,0,0,0,0,150,0,,,1,,0,0,0,0,0,0,0,0,150,500,0,,,0,0,0,20,0,0,0,0,0,,,,,0,0,0,0,0,0,0,520,670,2,,1,,2, 
2024,25,UCAYALI,04,PURUS,01,PURUS,10001,03,03,1,3,250493005,43.84864,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,01,01,1,3,250391005,13.09255,1,,1,1,0,0,0,0,3200,800,,,4,2,0,0,0,0,0,0,500,400,4900,2600,0,,,120,100,0,0,0,0,0,1500,0,,,3,,0,0,0,0,0,0,0,4320,9220,2,,1,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,02,02,1,3,250391005,16.38856,1,,1,1,0,0,0,0,1440,800,,,3,2,0,0,0,800,0,0,500,300,3840,150,0,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,150,3990,2,,1,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,03,03,1,3,250391005,13.88565,1,,1,1,0,0,0,0,4000,1800,,,4,2,0,0,0,0,0,0,500,500,6800,200,0,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,200,7000,1,2,2,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,04,04,1,3,250391005,22.57496,1,,1,1,0,0,0,0,3200,1600,,,4,2,0,0,0,0,0,200,500,400,5900,300,100,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,400,6300,2,,2,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,05,05,1,3,250391005,2.187476,1,,1,1,0,0,0,0,4000,1600,,,4,2,0,0,0,1200,0,0,500,400,7700,8000,0,,,160,120,0,0,0,0,0,1500,0,,,3,,0,0,0,0,0,0,400,10180,17880,2,,1,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,06,06,1,3,250391005,1.47013,1,,1,1,0,0,0,0,900,0,,,2,,0,0,0,0,0,0,150,200,1250,150,0,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,300,450,1700,2,,1,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,07,07,1,3,250391005,5.121626,1,,1,1,0,0,0,0,2250,1500,,,3,2,0,0,0,0,0,100,300,300,4450,250,0,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,250,4700,1,2,1,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,01,01,1,3,250391005,5.162738,1,,1,1,0,0,0,0,4500,0,,,5,,0,0,0,0,0,0,350,100,4950,250,50,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,300,5250,2,,2,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,02,02,1,3,250391005,10.69118,1,,1,1,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,100,100,14400,100,,,350,250,0,0,0,0,0,2250,0,,,3,,0,0,0,0,0,0,0,17350,17450,2,,2,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,03,03,1,3,250391005,12.99202,1,,1,1,0,0,0,0,5625,0,,,5,,0,0,0,0,0,0,0,250,5875,0,150,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,150,6025,1,2,2,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10003,04,04,1,3,250391005,21.59325,1,,1,1,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,200,200,21000,0,,,158,280,0,0,0,0,0,3750,0,,,5,,0,0,0,0,0,0,0,25188,25388,2,,2,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,01,01,1,3,250391005,28.86083,1,,1,1,0,0,0,0,2500,0,,,5,,0,0,0,500,0,0,150,0,3150,3600,130,,,50,150,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,50,3980,7130,2,,1,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,02,02,1,3,250391005,22.38966,1,,1,0,0,0,0,0,400,0,,,1,,0,0,0,0,0,0,0,0,400,,,,,,,,,,,,,,,,,,,,,,,,,,400,2,,2,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,03,03,1,3,250391005,1.18991,1,,1,1,0,0,0,0,3600,0,,,5,,0,0,0,0,0,0,0,150,3750,960,0,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,960,4710,1,4,1,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,06,06,1,3,250391005,2.99838,1,,1,1,0,0,13200,0,3750,0,1,,5,,0,0,0,1500,0,0,650,0,19100,4050,0,,,90,250,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,4390,23490,2,,2,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,07,07,1,3,250391005,8.017953,1,,1,1,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,60,60,470,0,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,470,530,1,1,1,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10004,08,08,1,3,250391005,21.4156,1,,1,1,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,50,50,125,0,,,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,30,155,205,1,2,2,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10005,01,01,1,3,250391003,.96399,1,,1,1,0,0,0,0,1800,0,,,3,,0,0,0,0,0,0,0,0,1800,28400,0,,,80,150,0,80,0,0,0,2250,0,,,3,,0,0,0,0,0,0,150,31110,32910,2,,1,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10005,02,02,1,3,250391003,.1062822,1,,1,1,0,0,0,0,1620,0,,,3,,0,0,0,0,0,0,600,250,2470,0,150,,,80,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,230,2700,2,,1,,1, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,01,01,1,3,250391005,29.66294,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,02,02,1,3,250391005,18.783,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,03,03,1,3,250391005,10.56679,1,,1,1,0,0,0,0,2500,0,,,3,,0,0,0,0,0,0,0,0,2500,8550,0,,,350,550,30,0,0,0,0,1200,0,,,3,,0,0,0,0,0,0,750,11430,13930,1,2,2,,2, 
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10006,04,04,1,3,250391005,4.254574,1,,1,1,0,0,0,0,2000,0,,,3,,0,0,0,0,0,0,0,0,2000,4500,0,,,500,380,450,50,0,0,0,0,0,,,,,0,0,0,0,0,0,750,6630,8630,2,,1,,2, 
