ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P1207_N,P1207_NOM,P1207_COD,P1207_TIPO,P1208,OMICAP1200B_ME
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,01,01,1,3,250391005,13.09255,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,01,01,1,3,250391005,13.09255,1,,1,1,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,02,02,1,3,250391005,16.38856,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,02,02,1,3,250391005,16.38856,1,,1,1,0,1,MOTOFUMIGADORA,2056,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,03,03,1,3,250391005,13.88565,1,,1,1,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,03,03,1,3,250391005,13.88565,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,04,04,1,3,250391005,22.57496,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,04,04,1,3,250391005,22.57496,1,,1,1,0,1,MOCHILA FUMIGADORA,2050,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,05,05,1,3,250391005,2.187476,1,,1,1,0,2,MOTOGUADAÑA,2057,2,1,
2024,25,UCAYALI,03,PADRE ABAD,05,ALEXANDER VON HUMBOLDT,10002,05,05,1,3,250391005,2.187476,1,,1,1,0,1,MOCHILA FUMIGADORA,2050,2,1,
