"model","term","estimate","std_error","z_value","p_value","odds_ratio"
"main","diversificacion_area",2.73794585857155,0.57200202577946,4.78660168176955,1.75815926076584e-06,15.4552052899348
"main","diversificacion_area:size_catmediano_2_5ha",-0.324004381758119,0.780332313652509,-0.415213334228784,0.678008215986178,0.723247073279164
"main","diversificacion_area:size_catpequeno_<2ha",-0.880761390543856,0.822701314771629,-1.07057248448466,0.284426896949408,0.41446722009242
"controls_ena","diversificacion_area",2.64523169637775,0.577125388250787,4.58346097785649,4.7145297180349e-06,14.0867085443879
"controls_ena","diversificacion_area:size_catmediano_2_5ha",-0.224806005052413,0.762587625605409,-0.294793670266996,0.768166966638266,0.79867114189805
"controls_ena","diversificacion_area:size_catpequeno_<2ha",-0.806164139133438,0.810039226910215,-0.995216172688873,0.319691990648515,0.446567756841668
"temp_topo","diversificacion_area",2.48728413753661,0.647592526706009,3.84081661687515,0.000124547516488097,12.0285637945645
"temp_topo","diversificacion_area:size_catmediano_2_5ha",-0.346875958238404,0.86879888335052,-0.399259212788899,0.689723785391501,0.706893007073577
"temp_topo","diversificacion_area:size_catpequeno_<2ha",-0.835286404891483,0.878745887219802,-0.95054374312258,0.34189414941186,0.433750235452396
"controls_temp_topo","diversificacion_area",2.38346046319201,0.642603973496397,3.70906586559626,0.000210886458747839,10.8423576005778
"controls_temp_topo","diversificacion_area:size_catmediano_2_5ha",-0.184579075143092,0.82640379807862,-0.223352162190246,0.823272991317683,0.831454189940801
"controls_temp_topo","diversificacion_area:size_catpequeno_<2ha",-0.795014462338339,0.876188417790316,-0.907355594066523,0.364274175740396,0.451574704049211
