"model","term","estimate","std_error","z_value","p_value","component"
"temp_topo","(Intercept)",8.84238077497235,0.101619260786735,87.0148110359663,0,"frontier"
"temp_topo","log_land",0.714498289745354,0.00512898373254827,139.306015967878,0,"frontier"
"temp_topo","log_labor",0.237045413041277,0.00584200399430058,40.5760443287162,0,"frontier"
"temp_topo","log_inputs",0.111027229118746,0.00247215399715616,44.9111298270519,0,"frontier"
"temp_topo","region_natural2",-0.426894565283843,0.0258355316064287,-16.5235448523775,0,"frontier"
"temp_topo","region_natural3",0.0700860902159337,0.025590457225209,2.73875881150308,0.00616715980927696,"frontier"
"temp_topo","log_surface_km2",0.00194498392945064,0.00553496594773978,0.351399439095894,0.725288703134444,"frontier"
"temp_topo","tmean_2024",-0.0072306623224937,0.00367208156441053,-1.96909088092503,0.0489426558389801,"frontier"
"temp_topo","delta_tmean_24_23",-0.186085518527229,0.0158305756684191,-11.754816907793,0,"frontier"
"temp_topo","elev_m",-0.000279156324708506,1.60044474854528e-05,-17.4424218619383,0,"frontier"
"temp_topo","slope_deg",-0.000628286359272506,0.00480326915998679,-0.130803904246381,0.895930434393725,"frontier"
"temp_topo","ruggedness",0.010490520875852,0.00348583128388251,3.00947464794327,0.00261699918518632,"frontier"
"temp_topo","prcp_total_z",0.0377517872243779,0.0075303953329526,5.01325435852991,5.3517075770948e-07,"frontier"
"temp_topo","Z_(Intercept)",-266.845419018504,24.8791162622897,-10.7256791682336,0,"inefficiency"
"temp_topo","Z_diversificacion_area_std",-9.4574881349801,0.75799838253311,-12.4769238997248,0,"inefficiency"
"temp_topo","Z_size_mediano",38.7091679525213,3.31899661381066,11.662912758467,0,"inefficiency"
"temp_topo","Z_size_grande",117.499244384247,11.0504425482483,10.6329899342242,0,"inefficiency"
"temp_topo","Z_diversif_mediano_std",30.6508003115248,2.86648200128745,10.6928284558418,0,"inefficiency"
"temp_topo","Z_diversif_grande_std",-11.2495976215194,1.37862313162853,-8.16002384076535,4.44089209850063e-16,"inefficiency"
"temp_topo","sigmaSq",199.599881117333,18.7248276953393,10.6596378009403,0,"variance"
"temp_topo","gamma",0.997311634440668,0.00028067747954905,3553.22997784859,0,"variance"
"controls_temp_topo","(Intercept)",8.68608080063572,0.0989346747800776,87.7961222386798,0,"frontier"
"controls_temp_topo","log_land",0.744375085368773,0.00519538732239242,143.276148471255,0,"frontier"
"controls_temp_topo","log_labor",0.225632842291598,0.00569457758320214,39.6224020122529,0,"frontier"
"controls_temp_topo","log_inputs",0.105497314580874,0.00247176272927814,42.6810038565811,0,"frontier"
"controls_temp_topo","region_natural2",-0.290757120027927,0.0252623624611549,-11.509498388166,0,"frontier"
"controls_temp_topo","region_natural3",0.154069524144086,0.0268012558043749,5.74859347146474,8.99888941141569e-09,"frontier"
"controls_temp_topo","log_surface_km2",0.00598428752659065,0.00522390797187209,1.14555760913339,0.251978245737175,"frontier"
"controls_temp_topo","tmean_2024",-0.00355111892219993,0.00349946806853944,-1.01475962993486,0.310220421774768,"frontier"
"controls_temp_topo","delta_tmean_24_23",-0.134223311914418,0.0154330073798875,-8.69715853886912,0,"frontier"
"controls_temp_topo","elev_m",-0.000220259136292183,1.52422927409236e-05,-14.4505252612565,0,"frontier"
"controls_temp_topo","slope_deg",0.00242540250484336,0.00463718834980332,0.523032993677349,0.600951293295658,"frontier"
"controls_temp_topo","ruggedness",0.00871013165672335,0.00335646347877512,2.59503245359368,0.00945819878001108,"frontier"
"controls_temp_topo","prcp_total_z",0.0288129763350445,0.00721392342055338,3.99407848618863,6.49463490474123e-05,"frontier"
"controls_temp_topo","log_seed",-0.0385445116157049,0.00225191247371459,-17.1163453578303,0,"frontier"
"controls_temp_topo","log_irrigation_cost",0.0428611516223982,0.00269305636818487,15.9154305601434,0,"frontier"
"controls_temp_topo","log_capital",0.0106829208170947,0.00236702551845478,4.51322587517714,6.38489588600244e-06,"frontier"
"controls_temp_topo","riego_tecnificado_any",0.0509652996323904,0.0146932006907329,3.46863155993877,0.000523116328404072,"frontier"
"controls_temp_topo","Z_(Intercept)",-572.365769282919,106.521381304805,-5.3732477205222,7.73309731805227e-08,"inefficiency"
"controls_temp_topo","Z_diversificacion_area_std",-20.8026317180134,3.61591856187238,-5.75306975587456,8.76373018598997e-09,"inefficiency"
"controls_temp_topo","Z_size_mediano",104.867011224511,19.8741445079371,5.27655473082779,1.31635211175762e-07,"inefficiency"
"controls_temp_topo","Z_size_grande",288.52610125796,50.584414859556,5.70385368811782,1.1712862679758e-08,"inefficiency"
"controls_temp_topo","Z_diversif_mediano_std",71.048268896859,10.4639756840636,6.78979682694257,1.12292397602687e-11,"inefficiency"
"controls_temp_topo","Z_diversif_grande_std",-11.9379637778552,2.01061086936968,-5.93748097144115,2.89434631817187e-09,"inefficiency"
"controls_temp_topo","Z_nivel_educacion",-4.32959529266804,0.575168127633034,-7.52752992500724,5.17363929475323e-14,"inefficiency"
"controls_temp_topo","Z_credito_obtenido",-61.6440566207253,9.36639865949468,-6.58140432216569,4.66024996370606e-11,"inefficiency"
"controls_temp_topo","Z_capacitacion_recibida",-15.809854847679,1.0133995930844,-15.6008103373714,0,"inefficiency"
"controls_temp_topo","Z_asistencia_tecnica_recibida",-133.029810061694,24.8710589842695,-5.34877948485558,8.85493522950753e-08,"inefficiency"
"controls_temp_topo","Z_usuario_agua",-84.0406411614883,16.8715887824351,-4.98119307228388,6.31934514716548e-07,"inefficiency"
"controls_temp_topo","Z_asociacion_miembro",41.8986742066188,8.81215758182277,4.75464423072109,1.98796178141336e-06,"inefficiency"
"controls_temp_topo","sigmaSq",479.961982653227,89.1346492096204,5.38468470913581,7.25717455019037e-08,"variance"
"controls_temp_topo","gamma",0.998985245997059,0.000198833167108316,5024.23846345944,0,"variance"
