"model","term","estimate","std_error","z_value","p_value","component"
"main_area","(Intercept)",8.73893757739275,0.0213625499003638,409.077456490526,0,"frontier"
"main_area","log_land",0.732136447412619,0.00486375010566434,150.529207197543,0,"frontier"
"main_area","log_labor",0.239697330206796,0.00582164932179133,41.173440198394,0,"frontier"
"main_area","log_inputs",0.111370475923166,0.00240795894751252,46.2509861466759,0,"frontier"
"main_area","region_natural2",-1.00628102298446,0.0146870380391163,-68.514905476816,0,"frontier"
"main_area","region_natural3",-0.157973568195189,0.0201653956698139,-7.83389380411034,4.66293670342566e-15,"frontier"
"main_area","Z_(Intercept)",-417.669555964522,54.2645047887839,-7.69692006939408,1.3988810110277e-14,"inefficiency"
"main_area","Z_diversificacion_area",-14.9304684948489,1.82061667484801,-8.20077543016864,2.22044604925031e-16,"inefficiency"
"main_area","Z_size_mediano",-19.2780162160686,3.638199667455,-5.29877906056596,1.16579596642907e-07,"inefficiency"
"main_area","Z_size_grande",228.301344453878,29.8411950524793,7.65054295085645,1.99840144432528e-14,"inefficiency"
"main_area","Z_diversif_mediano",174.792973320382,23.9792556468119,7.28934108276296,3.11528580709819e-13,"inefficiency"
"main_area","Z_diversif_grande",-69.9012745457344,10.2342328146334,-6.83014309052908,8.4829920865559e-12,"inefficiency"
"main_area","sigmaSq",323.005537199269,42.2568164185275,7.64386824601503,2.1094237467878e-14,"variance"
"main_area","gamma",0.998307294812651,0.000238917839664772,4178.45438504461,0,"variance"
