sample_type,group_type,group,n_base,n_geo2,share_remaining,weight_base,weight_geo2
logit,overall,overall,34074,34051,0.9993249985326055,2118891.36831625,2117832.70532565
logit,region,1,7489,7489,1.0,261014.26643234998,261014.26643234998
logit,region,2,20403,20380,0.9988727147968436,1540061.3466302,1539002.6836396
logit,region,3,6182,6182,1.0,317815.75525369996,317815.75525369996
logit,size,pequeno_<2ha,21956,21938,0.999180178538896,1530215.9255561498,1529258.83239645
logit,size,mediano_2_5ha,6278,6275,0.9995221408091749,355683.6697946,355626.6038097
logit,size,grande_>5ha,5840,5838,0.9996575342465753,232991.7729655,232947.2691195
sfa,overall,overall,31824,31804,0.9993715434891906,,
sfa,region,1,7289,7289,1.0,,
sfa,region,2,18759,18739,0.9989338450876912,,
sfa,region,3,5776,5776,1.0,,
sfa,size,pequeno_<2ha,20692,20677,0.9992750821573555,,
sfa,size,mediano_2_5ha,5905,5902,0.9994919559695173,,
sfa,size,grande_>5ha,5227,5225,0.9996173713411135,,
