feature,direction,rank,ubigeo6,value
prcp_2024_total,top,1,081203,5052.282718658447
prcp_2024_total,top,2,170102,4839.3022747039795
prcp_2024_total,top,3,170204,4409.258785247803
prcp_2024_total,top,4,210309,4381.11622428894
prcp_2024_total,top,5,160105,3817.395782470703
prcp_2024_total,top,6,160801,3760.997512817383
prcp_2024_total,top,7,160802,3715.209274291992
prcp_2024_total,top,8,160107,3633.8244018554688
prcp_2024_total,top,9,160112,3487.0211029052734
prcp_2024_total,top,10,160113,3487.0211029052734
prcp_2024_total,top,11,160101,3484.739059448242
prcp_2024_total,top,12,160108,3484.739059448242
prcp_2024_total,top,13,160804,3421.5320587158203
prcp_2024_total,top,14,160402,3351.2362365722656
prcp_2024_total,top,15,160104,3339.543472290039
prcp_2024_total,top,16,160106,3334.6580963134766
prcp_2024_total,top,17,250301,3292.8475379943848
prcp_2024_total,top,18,160103,3273.5841217041016
prcp_2024_total,top,19,160803,3269.420097351074
prcp_2024_total,top,20,080914,3267.51358795166
prcp_2024_total,bottom,1,140306,4.228915638028921
prcp_2024_total,bottom,2,140301,4.7040340247682435
prcp_2024_total,bottom,3,140107,6.176570447506671
prcp_2024_total,bottom,4,150119,6.884574087002956
prcp_2024_total,bottom,5,140105,7.340571271636444
prcp_2024_total,bottom,6,140106,7.340571271636444
prcp_2024_total,bottom,7,150124,7.641703938689638
prcp_2024_total,bottom,8,150138,7.970999054722437
prcp_2024_total,bottom,9,150513,8.64583127224325
prcp_2024_total,bottom,10,150515,8.64583127224325
prcp_2024_total,bottom,11,150509,8.802319116204462
prcp_2024_total,bottom,12,150203,9.46956167860304
prcp_2024_total,bottom,13,140101,10.021033654116126
prcp_2024_total,bottom,14,140111,12.122958467537472
prcp_2024_total,bottom,15,140118,12.877983205383233
prcp_2024_total,bottom,16,130402,14.401524983568642
prcp_2024_total,bottom,17,150204,14.410836076678894
prcp_2024_total,bottom,18,140303,14.767907745551252
prcp_2024_total,bottom,19,200803,14.832432476001973
prcp_2024_total,bottom,20,200804,14.832432476001973
prcp_2024_wet,top,1,081203,3754.2831115722656
prcp_2024_wet,top,2,170102,3556.750518798828
prcp_2024_wet,top,3,170204,3289.8401489257812
prcp_2024_wet,top,4,210309,3147.4356079101562
prcp_2024_wet,top,5,170203,2395.196075439453
prcp_2024_wet,top,6,080914,2380.299560546875
prcp_2024_wet,top,7,250301,2310.2703247070312
prcp_2024_wet,top,8,170201,2221.9931640625
prcp_2024_wet,top,9,081106,2081.6168212890625
prcp_2024_wet,top,10,170104,1928.4657287597656
prcp_2024_wet,top,11,160105,1921.2156066894531
prcp_2024_wet,top,12,160801,1898.8301696777344
prcp_2024_wet,top,13,250302,1850.1753540039062
prcp_2024_wet,top,14,190306,1802.2981872558594
prcp_2024_wet,top,15,190304,1752.4868774414062
prcp_2024_wet,top,16,100610,1744.5393676757812
prcp_2024_wet,top,17,160107,1714.76904296875
prcp_2024_wet,top,18,100603,1682.7537994384766
prcp_2024_wet,top,19,100609,1676.8923034667969
prcp_2024_wet,top,20,250201,1651.3032531738281
prcp_2024_wet,bottom,1,140301,0.0
prcp_2024_wet,bottom,2,140306,1.714967325861396e-22
prcp_2024_wet,bottom,3,140105,2.141798072230472e-09
prcp_2024_wet,bottom,4,140106,2.141798072230472e-09
prcp_2024_wet,bottom,5,140107,3.935093902889908e-09
prcp_2024_wet,bottom,6,130705,4.5194174568626184e-09
prcp_2024_wet,bottom,7,130203,0.1937932229215874
prcp_2024_wet,bottom,8,150203,0.32525341702972455
prcp_2024_wet,bottom,9,140111,0.3315029006543855
prcp_2024_wet,bottom,10,140118,0.4763658441505947
prcp_2024_wet,bottom,11,130402,0.9470858501629558
prcp_2024_wet,bottom,12,130702,1.4230852881464182
prcp_2024_wet,bottom,13,130208,2.0924076959490776
prcp_2024_wet,bottom,14,150204,2.437006039859913
prcp_2024_wet,bottom,15,140101,2.693624043963881
prcp_2024_wet,bottom,16,140120,3.0604520440101624
prcp_2024_wet,bottom,17,140303,3.802188551066308
prcp_2024_wet,bottom,18,150119,5.622049391269684
prcp_2024_wet,bottom,19,140305,5.717122247082271
prcp_2024_wet,bottom,20,140312,5.717122247082271
prcp_2024_dry,top,1,160802,1687.8872833251953
prcp_2024_dry,top,2,160803,1506.8662414550781
prcp_2024_dry,top,3,160110,1497.4150390625
prcp_2024_dry,top,4,160107,1497.0228271484375
prcp_2024_dry,top,5,160105,1333.7110748291016
prcp_2024_dry,top,6,160112,1332.9616394042969
prcp_2024_dry,top,7,160113,1332.9616394042969
prcp_2024_dry,top,8,160801,1332.0028839111328
prcp_2024_dry,top,9,160101,1305.4353332519531
prcp_2024_dry,top,10,160108,1305.4353332519531
prcp_2024_dry,top,11,160804,1293.8732452392578
prcp_2024_dry,top,12,160106,1249.6338653564453
prcp_2024_dry,top,13,160104,1215.6829986572266
prcp_2024_dry,top,14,160103,1199.6573028564453
prcp_2024_dry,top,15,160402,1188.4327392578125
prcp_2024_dry,top,16,160102,1140.9844970703125
prcp_2024_dry,top,17,160303,1132.5897521972656
prcp_2024_dry,top,18,160301,978.3859558105469
prcp_2024_dry,top,19,160510,958.5625305175781
prcp_2024_dry,top,20,160501,918.4557800292969
prcp_2024_dry,bottom,1,240203,3.4618729216617794e-08
prcp_2024_dry,bottom,2,200706,5.106392819698158e-08
prcp_2024_dry,bottom,3,200705,0.3192581308373123
prcp_2024_dry,bottom,4,150119,0.3592961147815815
prcp_2024_dry,bottom,5,150124,0.36353865787069867
prcp_2024_dry,bottom,6,150138,0.3758312390371653
prcp_2024_dry,bottom,7,150513,0.5129830690610289
prcp_2024_dry,bottom,8,150515,0.5129830690610289
prcp_2024_dry,bottom,9,200605,0.5643834306370442
prcp_2024_dry,bottom,10,150509,0.5814347632820219
prcp_2024_dry,bottom,11,200506,0.5848844947404771
prcp_2024_dry,bottom,12,200505,0.6772524008982344
prcp_2024_dry,bottom,13,200601,0.7184911559485527
prcp_2024_dry,bottom,14,200602,0.7184911559485527
prcp_2024_dry,bottom,15,200608,0.7184911559485527
prcp_2024_dry,bottom,16,200606,0.7578093269839883
prcp_2024_dry,bottom,17,150501,1.017101262395415
prcp_2024_dry,bottom,18,150507,1.017101262395415
prcp_2024_dry,bottom,19,240202,1.0892098265868766
prcp_2024_dry,bottom,20,200806,1.1879301225455212
prcp_total_anom,top,1,160105,685.919278462728
prcp_total_anom,top,2,160101,553.306453704834
prcp_total_anom,top,3,160108,553.306453704834
prcp_total_anom,top,4,160112,496.8844108581543
prcp_total_anom,top,5,160113,496.8844108581543
prcp_total_anom,top,6,160801,485.5635312398276
prcp_total_anom,top,7,160106,481.92768351236964
prcp_total_anom,top,8,160104,434.69789632161473
prcp_total_anom,top,9,160301,397.4056873321533
prcp_total_anom,top,10,160402,379.41674550374364
prcp_total_anom,top,11,160107,377.6699574788413
prcp_total_anom,top,12,160103,373.83039601643895
prcp_total_anom,top,13,160102,320.6097348531089
prcp_total_anom,top,14,120609,280.8254715601604
prcp_total_anom,top,15,081203,265.68436431884766
prcp_total_anom,top,16,050409,265.6574103037517
prcp_total_anom,top,17,160802,261.15514882405614
prcp_total_anom,top,18,050507,258.895065466563
prcp_total_anom,top,19,160507,253.0845845540366
prcp_total_anom,top,20,050503,250.26996390024829
prcp_total_anom,bottom,1,250301,-1109.0303293863935
prcp_total_anom,bottom,2,160702,-970.4195493062339
prcp_total_anom,bottom,3,250302,-835.2571309407554
prcp_total_anom,bottom,4,100603,-756.4705149332681
prcp_total_anom,bottom,5,160704,-744.6095759073892
prcp_total_anom,bottom,6,160202,-722.9893493652344
prcp_total_anom,bottom,7,190306,-706.9959208170571
prcp_total_anom,bottom,8,160703,-695.9767405192056
prcp_total_anom,bottom,9,160201,-684.225898106893
prcp_total_anom,bottom,10,100602,-676.3920046488442
prcp_total_anom,bottom,11,100605,-661.037052154541
prcp_total_anom,bottom,12,190304,-659.2762877146401
prcp_total_anom,bottom,13,160701,-654.4966290791831
