feature,direction,rank,ubigeo6,value
elev_m,top,1,080802,4651.22021484375
elev_m,top,2,211002,4648.08056640625
elev_m,top,3,090411,4500.14697265625
elev_m,top,4,040514,4448.5625
elev_m,top,5,120804,4423.11865234375
elev_m,top,6,210502,4394.90673828125
elev_m,top,7,210707,4361.392578125
elev_m,top,8,190113,4359.4189453125
elev_m,top,9,210602,4344.93017578125
elev_m,top,10,190101,4342.84765625
elev_m,top,11,040505,4336.36279296875
elev_m,top,12,210113,4328.27685546875
elev_m,top,13,210301,4323.19921875
elev_m,top,14,190104,4310.97607421875
elev_m,top,15,210710,4295.97216796875
elev_m,top,16,151028,4272.9697265625
elev_m,top,17,190111,4269.029296875
elev_m,top,18,120809,4259.111328125
elev_m,top,19,210302,4256.681640625
elev_m,top,20,120805,4250.08984375
elev_m,bottom,1,180301,2.7510502338409424
elev_m,bottom,2,130109,3.2502264976501465
elev_m,bottom,3,110506,3.464320182800293
elev_m,bottom,4,110505,3.9943301677703857
elev_m,bottom,5,130104,4.464236259460449
elev_m,bottom,6,150504,4.464691162109375
elev_m,bottom,7,070101,4.564078330993652
elev_m,bottom,8,070105,5.25418758392334
elev_m,bottom,9,140104,5.347554683685303
elev_m,bottom,10,021807,5.596978664398193
elev_m,bottom,11,200706,5.789304256439209
elev_m,bottom,12,200705,6.509519100189209
elev_m,bottom,13,200703,6.542385578155518
elev_m,bottom,14,150102,6.7180352210998535
elev_m,bottom,15,140112,6.887727737426758
elev_m,bottom,16,140103,7.175750732421875
elev_m,bottom,17,240103,7.186756610870361
elev_m,bottom,18,040705,7.244564533233643
elev_m,bottom,19,150124,7.468272686004639
elev_m,bottom,20,140114,7.778432369232178
slope_deg,top,1,021304,25.872629871557052
slope_deg,top,2,130807,24.717102743573072
slope_deg,top,3,090510,24.685733236495352
slope_deg,top,4,010303,23.766798065601666
slope_deg,top,5,090408,23.718838979719305
slope_deg,top,6,020903,23.25586726541852
slope_deg,top,7,050707,23.251616601987138
slope_deg,top,8,030709,23.09899240875481
slope_deg,top,9,110209,22.720796294638607
slope_deg,top,10,090208,22.69189907651491
slope_deg,top,11,190103,22.293649830653656
slope_deg,top,12,020107,22.10803867601032
slope_deg,top,13,010602,22.015278493998444
slope_deg,top,14,110208,21.91879461430395
slope_deg,top,15,010116,21.87345446539853
slope_deg,top,16,230407,21.609336117744654
slope_deg,top,17,090402,21.41055628915856
slope_deg,top,18,020906,21.34685238285342
slope_deg,top,19,150715,21.29490757478165
slope_deg,top,20,190204,21.274813611062562
slope_deg,bottom,1,150105,0.06662838207554489
slope_deg,bottom,2,200406,0.06867768306467183
slope_deg,bottom,3,200804,0.06906464957598094
slope_deg,bottom,4,211105,0.07370849190278753
slope_deg,bottom,5,210505,0.087321053883318
slope_deg,bottom,6,070102,0.09424737074620812
slope_deg,bottom,7,160601,0.11515585955690118
slope_deg,bottom,8,240104,0.11886484530694494
slope_deg,bottom,9,220602,0.12243644209268326
slope_deg,bottom,10,200705,0.12922152135267237
slope_deg,bottom,11,150108,0.1328821285115928
slope_deg,bottom,12,110501,0.13903640646315168
slope_deg,bottom,13,080501,0.13915213464183673
slope_deg,bottom,14,160605,0.1506515606184068
slope_deg,bottom,15,140113,0.16683526291890555
slope_deg,bottom,16,140111,0.1683984395658941
slope_deg,bottom,17,150125,0.1714011323783319
slope_deg,bottom,18,140105,0.17293996704996073
slope_deg,bottom,19,130208,0.17346017787575135
slope_deg,bottom,20,210214,0.17418637414049415
ruggedness,top,1,090510,35.887142181396484
ruggedness,top,2,020906,34.83616256713867
ruggedness,top,3,020903,33.8995475769043
ruggedness,top,4,190204,33.31917190551758
ruggedness,top,5,020107,33.13732147216797
ruggedness,top,6,050707,33.05641555786133
ruggedness,top,7,180205,32.722442626953125
ruggedness,top,8,020102,32.55867004394531
ruggedness,top,9,211208,31.79176139831543
ruggedness,top,10,130807,31.688207626342773
ruggedness,top,11,010303,31.64967918395996
ruggedness,top,12,021304,31.481897354125977
ruggedness,top,13,090716,31.448381423950195
ruggedness,top,14,110209,31.379648208618164
ruggedness,top,15,090408,31.281784057617188
ruggedness,top,16,030709,31.21283531188965
ruggedness,top,17,211201,31.150463104248047
ruggedness,top,18,190103,31.137603759765625
ruggedness,top,19,151002,30.517759323120117
ruggedness,top,20,110208,30.21323585510254
ruggedness,bottom,1,211105,0.1424867808818817
ruggedness,bottom,2,200804,0.24527408182621002
ruggedness,bottom,3,220605,0.26462793350219727
ruggedness,bottom,4,040202,0.2676217555999756
ruggedness,bottom,5,140111,0.2676871716976166
ruggedness,bottom,6,140107,0.32362979650497437
ruggedness,bottom,7,211101,0.34334796667099
ruggedness,bottom,8,110111,0.34572020173072815
ruggedness,bottom,9,131201,0.35043299198150635
ruggedness,bottom,10,140108,0.36286473274230957
ruggedness,bottom,11,110501,0.3640483617782593
ruggedness,bottom,12,200104,0.36518073081970215
ruggedness,bottom,13,021101,0.36669471859931946
ruggedness,bottom,14,130111,0.36754080653190613
ruggedness,bottom,15,200105,0.36987417936325073
ruggedness,bottom,16,140113,0.37390369176864624
ruggedness,bottom,17,210505,0.3791162669658661
ruggedness,bottom,18,190112,0.3792814016342163
ruggedness,bottom,19,200607,0.3898616135120392
ruggedness,bottom,20,140104,0.39852023124694824
